File_1,File_2,TED,Myers Diff,Local Fingerprint,Labels
735011.py,734407.py,0.4146341463414634,0.8116666666666666,0.36,0
735011.py,730199.py,0.5609756097560976,0.8149435273675065,0.42,0
735011.py,730822.py,0.34146341463414637,0.5236220472440944,0.13,0
735011.py,733519.py,0.45528455284552843,0.6824644549763033,0.26,0
735011.py,734577.py,0.45528455284552843,0.5622317596566524,0.23,0
735011.py,729279.py,0.5121951219512195,0.3118383060635226,0.47,0
735011.py,734329.py,0.4146341463414634,0.7597571552471812,0.32,0
735011.py,730476.py,0.4878048780487805,0.6435845213849287,0.18,0
735011.py,733332.py,0.42276422764227645,0.6841593780369291,0.58,0
735011.py,729963.py,0.3333333333333333,0.5985247629083246,0.14,0
735011.py,734770.py,0.6463414634146342,0.7272727272727273,0.31,0
735011.py,729278.py,0.4634146341463415,0.30740037950664134,0.32,0
735011.py,733439.py,0.45528455284552843,0.6824644549763033,0.26,0
735011.py,730813.py,0.44308943089430897,0.56875,0.18,0
735011.py,729318.py,0.5121951219512195,0.32595573440643866,0.27,0
735011.py,731878.py,0.3943089430894309,0.2848664688427299,0.11,0
735011.py,733384.py,0.6463414634146342,0.6955074875207987,0.3,0
735011.py,734774.py,0.3861788617886179,0.3471074380165289,0.28,0
735011.py,733259.py,0.4715447154471545,0.701188455008489,0.33,0
735011.py,733853.py,0.44308943089430897,0.56875,0.18,0
735011.py,734015.py,0.3699186991869919,0.7329842931937173,0.35,0
735011.py,732509.py,0.4105691056910569,0.34593572778827975,0.14,0
735011.py,729303.py,0.4634146341463415,0.5274949083503055,0.2,0
735011.py,734120.py,0.4715447154471545,0.701188455008489,0.33,0
735011.py,731754.py,0.4349593495934959,0.5592039800995026,0.14,0
735011.py,734332.py,0.45528455284552843,0.6805687203791468,0.26,0
735011.py,728480.py,0.2764227642276423,0.43171806167400884,0.11,0
735011.py,729306.py,0.44308943089430897,0.56875,0.18,0
735011.py,731704.py,0.5853658536585366,0.3366533864541833,0.37,0
735011.py,733650.py,0.4634146341463415,0.6650082918739635,0.31,0
735011.py,730439.py,0.45934959349593496,0.3104421448730009,0.23,0
735011.py,728427.py,0.34959349593495936,0.575,0.2,0
735011.py,731554.py,0.4959349593495935,0.3432282003710575,0.47,0
735011.py,734293.py,0.4715447154471545,0.701188455008489,0.33,0
735011.py,733804.py,0.5365853658536586,0.39594843462246776,0.25,0
735011.py,729255.py,0.7235772357723578,0.39235412474849096,0.44,0
735011.py,733550.py,0.45528455284552843,0.6824644549763033,0.26,0
735011.py,730181.py,0.5528455284552846,0.6028513238289206,0.25,0
735011.py,729133.py,0.3943089430894309,0.2834489593657086,0.11,0
735011.py,711805.py,0.2601626016260163,0.3009345794392523,0.07,0
735011.py,734340.py,0.4715447154471545,0.5592105263157895,0.23,0
735011.py,733777.py,0.45528455284552843,0.6824644549763033,0.26,0
735011.py,734006.py,0.3943089430894309,0.2834489593657086,0.11,0
735011.py,732304.py,0.3943089430894309,0.551654964894684,0.12,0
735011.py,732658.py,0.4105691056910569,0.34593572778827975,0.14,0
735011.py,731405.py,0.7357723577235772,0.6898669396110543,0.33,0
735011.py,730167.py,0.6463414634146342,0.728956228956229,0.31,0
735011.py,730136.py,0.44308943089430897,0.56875,0.18,0
735011.py,730102.py,0.43902439024390244,0.5431309904153354,0.31,0
735011.py,729158.py,0.47560975609756095,0.5774499473129611,0.13,0
733519.py,734577.py,1.0,0.8421052631578947,0.78,1
733519.py,733439.py,1.0,1.0,1.0,1
733519.py,734332.py,1.0,0.9977827050997783,1.0,1
733519.py,733550.py,1.0,1.0,1.0,1
733519.py,733777.py,1.0,1.0,1.0,1
733519.py,733204.py,1.0,1.0,1.0,1
733519.py,734524.py,1.0,0.8344030808729139,0.78,1
733519.py,733748.py,1.0,1.0,1.0,1
734577.py,733439.py,1.0,0.8421052631578947,0.78,1
734577.py,734332.py,1.0,0.8395378690629012,0.78,1
734577.py,733550.py,1.0,0.8421052631578947,0.78,1
734577.py,733777.py,1.0,0.8421052631578947,0.78,1
734577.py,733204.py,1.0,0.8421052631578947,0.78,1
734577.py,734524.py,1.0,0.9847560975609756,0.94,1
734577.py,733748.py,1.0,0.8421052631578947,0.78,1
734770.py,730167.py,1.0,0.9948630136986302,1.0,1
729278.py,730439.py,0.9932432432432432,0.9526952695269527,0.74,1
733439.py,734332.py,1.0,0.9977827050997783,1.0,1
733439.py,733550.py,1.0,1.0,1.0,1
733439.py,733777.py,1.0,1.0,1.0,1
733439.py,733204.py,1.0,1.0,1.0,1
733439.py,734524.py,1.0,0.8344030808729139,0.78,1
733439.py,733748.py,1.0,1.0,1.0,1
730813.py,733853.py,1.0,1.0,1.0,1
730813.py,729306.py,1.0,1.0,1.0,1
730813.py,730136.py,1.0,1.0,1.0,1
731878.py,729133.py,1.0,0.9975369458128078,1.0,1
731878.py,734006.py,1.0,0.9975369458128078,1.0,1
731878.py,734726.py,1.0,1.0,1.0,1
731878.py,730677.py,1.0,0.9975369458128078,1.0,1
733259.py,734120.py,1.0,0.9965156794425087,1.0,1
733259.py,734293.py,1.0,0.9965156794425087,1.0,1
733259.py,734961.py,0.8051948051948052,0.7508710801393728,0.76,1
733853.py,729306.py,1.0,1.0,1.0,1
733853.py,730136.py,1.0,1.0,1.0,1
732509.py,732658.py,1.0,1.0,1.0,1
729303.py,733043.py,1.0,0.9164345403899722,0.84,1
734120.py,734293.py,1.0,1.0,1.0,1
734120.py,734961.py,0.8051948051948052,0.7491289198606272,0.76,1
734332.py,733550.py,1.0,0.9977827050997783,1.0,1
734332.py,733777.py,1.0,0.9977827050997783,1.0,1
734332.py,733204.py,1.0,0.9977827050997783,1.0,1
734332.py,734524.py,1.0,0.8344030808729139,0.78,1
734332.py,733748.py,1.0,0.9977827050997783,1.0,1
729306.py,730136.py,1.0,1.0,1.0,1
733650.py,735147.py,1.0,0.9983388704318937,0.97,1
734293.py,734961.py,0.8051948051948052,0.7491289198606272,0.76,1
733550.py,733777.py,1.0,1.0,1.0,1
733550.py,733204.py,1.0,1.0,1.0,1
733550.py,734524.py,1.0,0.8344030808729139,0.78,1
