File_1,File_2,TED,Myers Diff,Local Fingerprint,Labels
739146.py,740535.py,0.7163120567375887,0.8677248677248677,0.44,0
739146.py,740399.py,0.7163120567375887,0.8677248677248677,0.44,0
739146.py,776327.py,0.5460992907801419,0.010526315789473717,0.06,0
739146.py,779289.py,0.22695035460992907,0.25268817204301075,0.0,0
739146.py,776284.py,0.41843971631205673,0.005181347150259086,0.03,0
739146.py,776183.py,0.3971631205673759,0.4620573355817875,0.02,0
739146.py,741265.py,0.5531914893617021,0.7751196172248804,0.2,0
739146.py,736379.py,0.3120567375886525,0.4275184275184275,0.03,0
739146.py,749206.py,0.40425531914893614,0.39566395663956644,0.09,0
739146.py,776568.py,0.19148936170212766,0.009009009009009028,0.06,0
739146.py,686564.py,0.3333333333333333,0.8385416666666666,0.08,0
739146.py,776408.py,0.524822695035461,0.009983361064891838,0.06,0
739146.py,683081.py,0.41134751773049644,0.3261538461538461,0.04,0
739146.py,776519.py,0.425531914893617,0.009828009828009798,0.06,0
739146.py,779454.py,0.2198581560283688,0.3555555555555555,0.0,0
739146.py,749849.py,0.3333333333333333,0.3917525773195877,0.08,0
739146.py,722181.py,0.5319148936170213,0.8039702233250621,0.0,0
739146.py,741271.py,0.7588652482269503,0.7066381156316917,0.32,0
739146.py,776096.py,0.24113475177304963,0.4460093896713615,0.0,0
739146.py,749529.py,0.3617021276595745,0.41986455981941306,0.07,0
739146.py,140819.py,0.40425531914893614,0.01295896328293733,0.0,0
739146.py,779561.py,0.19858156028368795,0.00591715976331364,0.03,0
739146.py,749294.py,0.40425531914893614,0.3944444444444445,0.09,0
739146.py,737316.py,0.524822695035461,0.7915194346289752,0.32,0
739146.py,789859.py,0.425531914893617,0.7675276752767528,0.16,0
739146.py,776449.py,0.5035460992907801,0.004819277108433773,0.03,0
739146.py,740561.py,0.22695035460992907,0.8702702702702703,0.21,0
739146.py,776100.py,0.3333333333333333,0.6989473684210527,0.05,0
739146.py,749478.py,0.3333333333333333,0.4155844155844156,0.06,0
739146.py,750044.py,0.3617021276595745,0.40886699507389157,0.08,0
739146.py,741143.py,0.8014184397163121,0.9265175718849841,0.53,0
739146.py,776223.py,0.49645390070921985,0.023980815347721784,0.03,0
739146.py,702618.py,0.2127659574468085,0.3377483443708609,0.05,0
739146.py,779471.py,0.19858156028368795,0.023668639053254448,0.0,0
739146.py,779636.py,0.19858156028368795,0.023668639053254448,0.0,0
739146.py,750478.py,0.2198581560283688,0.40105540897097625,0.08,0
739146.py,712098.py,0.41134751773049644,0.367816091954023,0.04,0
739146.py,779647.py,0.40425531914893614,0.32163742690058483,0.0,0
739146.py,139836.py,0.2127659574468085,0.00512820512820511,0.01,0
739146.py,739287.py,0.4326241134751773,0.8698060941828255,0.18,0
739146.py,766637.py,0.1773049645390071,0.29032258064516125,0.03,0
739146.py,740487.py,0.524822695035461,0.7841726618705036,0.24,0
739146.py,739365.py,0.44680851063829785,0.577391304347826,0.07,0
739146.py,740815.py,0.4326241134751773,0.7081712062256809,0.27,0
739146.py,140978.py,0.2198581560283688,0.29811320754716986,0.02,0
739146.py,750291.py,0.2127659574468085,0.3311688311688312,0.05,0
739146.py,748912.py,0.41134751773049644,0.35838150289017345,0.07,0
739146.py,746703.py,0.3333333333333333,0.3886010362694301,0.07,0
739146.py,776114.py,0.36879432624113473,0.4717948717948718,0.05,0
739146.py,738524.py,0.40425531914893614,0.6532258064516129,0.08,0
739146.py,685598.py,0.41843971631205673,0.42283298097251587,0.05,0
739146.py,723642.py,0.48226950354609927,0.4358353510895884,0.04,0
739146.py,779424.py,0.40425531914893614,0.3081570996978852,0.0,0
739146.py,784845.py,0.3191489361702128,0.2305475504322767,0.12,0
739146.py,779382.py,0.4397163120567376,0.8451443569553806,0.0,0
739146.py,740176.py,0.40425531914893614,0.6532258064516129,0.08,0
739146.py,681840.py,0.3333333333333333,0.3626373626373627,0.07,0
739146.py,140947.py,0.19858156028368795,0.0038022813688213253,0.03,0
739146.py,685987.py,0.2127659574468085,0.3311688311688312,0.05,0
739146.py,736357.py,0.3262411347517731,0.9058823529411765,0.14,0
739146.py,738360.py,0.7163120567375887,0.8338983050847457,0.42,0
739146.py,765964.py,0.40425531914893614,0.6798418972332017,0.07,0
739146.py,778934.py,0.20567375886524822,0.20858895705521474,0.04,0
739146.py,776533.py,0.5035460992907801,0.009433962264150941,0.0,0
739146.py,776473.py,0.41843971631205673,0.0050000000000000044,0.07,0
739146.py,779052.py,0.19858156028368795,0.7522935779816513,0.0,0
739146.py,749620.py,0.2127659574468085,0.3311688311688312,0.05,0
739146.py,688326.py,0.3404255319148936,0.38095238095238093,0.04,0
739146.py,721305.py,0.5319148936170213,0.801980198019802,0.0,0
739146.py,740090.py,0.7588652482269503,0.7819905213270142,0.15,0
739146.py,722069.py,0.6170212765957447,0.4946889226100152,0.09,0
739146.py,779132.py,0.3617021276595745,0.6831275720164609,0.0,0
739146.py,750802.py,0.40425531914893614,0.3867403314917127,0.04,0
739146.py,793061.py,0.19148936170212766,0.23333333333333328,0.15,0
739146.py,750836.py,0.44680851063829785,0.32664756446991405,0.08,0
739146.py,736120.py,0.5390070921985816,0.8867313915857605,0.19,0
739146.py,779080.py,0.425531914893617,0.8320413436692506,0.0,0
739146.py,691010.py,0.3333333333333333,0.36734693877551017,0.03,0
739146.py,779649.py,0.40425531914893614,0.29940119760479045,0.0,0
739146.py,776577.py,0.40425531914893614,0.3901234567901235,0.0,0
739146.py,682053.py,0.3333333333333333,0.4439746300211417,0.06,0
739146.py,688548.py,0.3333333333333333,0.37696335078534027,0.07,0
739146.py,688408.py,0.41134751773049644,0.33333333333333337,0.04,0
739146.py,750697.py,0.41843971631205673,0.38144329896907214,0.09,0
739146.py,778882.py,0.5035460992907801,0.3922518159806295,0.0,0
739146.py,740499.py,0.7163120567375887,0.8677248677248677,0.44,0
739146.py,747931.py,0.2127659574468085,0.32131147540983607,0.05,0
739146.py,801741.py,0.49645390070921985,0.8083623693379791,0.12,0
739146.py,779344.py,0.3404255319148936,0.347394540942928,0.03,0
739146.py,748848.py,0.5106382978723404,0.3910891089108911,0.08,0
739146.py,740355.py,0.375886524822695,0.5971223021582734,0.26,0
739146.py,750670.py,0.5177304964539007,0.42272727272727273,0.07,0
739146.py,691327.py,0.2765957446808511,0.3505747126436781,0.09,0
739146.py,776573.py,0.46099290780141844,0.43212237093690253,0.05,0
739146.py,776522.py,0.40425531914893614,0.3901234567901235,0.0,0
739146.py,776506.py,0.375886524822695,0.0032102728731941976,0.02,0
739146.py,778964.py,0.49645390070921985,0.28915662650602414,0.0,0
739146.py,750771.py,0.20567375886524822,0.40198511166253104,0.06,0
739146.py,747109.py,0.41134751773049644,0.410958904109589,0.09,0
739146.py,739897.py,0.6950354609929078,0.8976897689768977,0.64,0
740535.py,740399.py,1.0,1.0,1.0,1
740535.py,740499.py,1.0,1.0,1.0,1
740399.py,740499.py,1.0,1.0,1.0,1
776183.py,776149.py,1.0,0.9976525821596244,1.0,1
683081.py,712098.py,0.8313253012048193,0.8797653958944281,0.72,1
683081.py,688408.py,0.8554216867469879,0.9148264984227129,0.78,1
683081.py,685744.py,0.8313253012048193,0.9221183800623053,0.88,1
683081.py,691081.py,0.8313253012048193,0.9221183800623053,0.88,1
683081.py,690960.py,0.8313253012048193,0.9221183800623053,0.88,1
683081.py,691185.py,0.8313253012048193,0.91875,0.76,1
683081.py,748616.py,0.891566265060241,0.9254658385093167,0.71,1
683081.py,681809.py,0.9036144578313253,0.9579288025889967,1.0,1
683081.py,746686.py,0.8313253012048193,0.9192546583850931,0.76,1
683081.py,747346.py,1.0,0.9904761904761905,1.0,1
779454.py,779303.py,1.0,1.0,1.0,1
722181.py,721305.py,1.0,0.9978947368421053,1.0,1
722181.py,778953.py,1.0,0.9978858350951374,1.0,1
749529.py,750670.py,1.0,0.9836660617059891,0.89,1
749529.py,749555.py,0.9666666666666667,0.9857651245551602,1.0,1
749529.py,748835.py,1.0,0.9819494584837545,0.83,1
749294.py,750717.py,0.975609756097561,0.9580246913580247,1.0,1
737316.py,741552.py,1.0,0.9873417721518988,1.0,1
776100.py,776133.py,1.0,0.9453924914675768,0.86,1
741143.py,740740.py,1.0,0.9898305084745763,1.0,1
702618.py,696430.py,1.0,0.9850746268656716,1.0,1
702618.py,765837.py,1.0,0.996309963099631,1.0,1
779471.py,779636.py,1.0,1.0,1.0,1
712098.py,685744.py,1.0,0.9418604651162791,0.82,1
712098.py,691081.py,1.0,0.9418604651162791,0.82,1
712098.py,690960.py,1.0,0.9418604651162791,0.82,1
712098.py,750138.py,0.9753086419753086,0.9299719887955182,0.88,1
712098.py,691185.py,1.0,0.9387755102040817,0.71,1
712098.py,748746.py,0.9012345679012346,0.8864265927977839,0.78,1
712098.py,748616.py,0.9876543209876543,0.9159420289855073,0.75,1
712098.py,681809.py,0.8765432098765432,0.8975903614457832,0.72,1
712098.py,746686.py,1.0,0.9449275362318841,0.71,1
712098.py,747346.py,0.8518518518518519,0.8698224852071006,0.72,1
712098.py,748763.py,0.9753086419753086,0.9299719887955182,0.88,1
779647.py,779649.py,0.9404761904761905,0.9651162790697675,0.74,1
740487.py,736120.py,0.9506172839506173,0.8784313725490196,0.8,1
750291.py,685987.py,1.0,1.0,1.0,1
750291.py,749620.py,1.0,1.0,1.0,1
750291.py,747931.py,1.0,0.9893238434163701,1.0,1
750291.py,691327.py,0.8717948717948718,0.8518518518518519,0.71,1
750291.py,750234.py,1.0,1.0,1.0,1
750291.py,750729.py,1.0,1.0,1.0,1
748912.py,748746.py,0.8275862068965517,0.9025069637883009,0.7,1
746703.py,688548.py,0.9454545454545454,0.9587155963302753,0.75,1
738524.py,740176.py,1.0,1.0,1.0,1
738524.py,736623.py,1.0,1.0,1.0,1
685598.py,691488.py,1.0,0.9903225806451613,1.0,1
723642.py,722070.py,1.0,0.997979797979798,0.83,1
779424.py,779634.py,1.0,1.0,1.0,1
779382.py,779580.py,1.0,1.0,1.0,1
740176.py,736623.py,1.0,1.0,1.0,1
681840.py,691220.py,1.0,0.9157894736842105,0.74,1
685987.py,749620.py,1.0,1.0,1.0,1
685987.py,747931.py,1.0,0.9893238434163701,1.0,1
685987.py,691327.py,0.8717948717948718,0.8518518518518519,0.71,1
685987.py,750234.py,1.0,1.0,1.0,1
685987.py,750729.py,1.0,1.0,1.0,1
779052.py,779050.py,1.0,1.0,1.0,1
749620.py,747931.py,1.0,0.9893238434163701,1.0,1
749620.py,691327.py,0.8717948717948718,0.8518518518518519,0.71,1
749620.py,750234.py,1.0,1.0,1.0,1
749620.py,750729.py,1.0,1.0,1.0,1
688326.py,688548.py,0.9830508474576272,0.9672897196261683,0.79,1
721305.py,778953.py,1.0,0.9957805907172996,1.0,1
750802.py,750138.py,0.9772727272727273,0.9272237196765498,0.71,1
750802.py,748763.py,0.9772727272727273,0.9272237196765498,0.71,1
750836.py,750785.py,1.0,1.0,1.0,1
750836.py,750298.py,1.0,1.0,1.0,1
750836.py,746674.py,1.0,1.0,1.0,1
776577.py,776522.py,1.0,1.0,1.0,1
776577.py,776430.py,1.0,1.0,0.95,1
688408.py,691185.py,0.8571428571428571,0.8840125391849529,0.76,1
