File_1,File_2,TED,Myers Diff,Local Fingerprint,Labels
712499.py,766100.py,0.9479166666666666,0.8656716417910448,0.41,0
712499.py,762309.py,1.0,1.0,1.0,1
712499.py,753801.py,0.34375,0.5468164794007491,0.47,0
712499.py,695584.py,0.28125,0.27064220183486243,0.03,0
712499.py,711391.py,1.0,1.0,1.0,1
712499.py,801231.py,0.20833333333333334,0.2787878787878788,0.0,0
712499.py,766791.py,0.6354166666666666,0.6226415094339622,0.21,0
712499.py,801230.py,0.20833333333333334,0.2787878787878788,0.0,0
712499.py,761785.py,1.0,1.0,1.0,1
766100.py,762309.py,0.8348623853211009,0.8656716417910448,0.41,0
766100.py,753801.py,0.30275229357798167,0.5555555555555556,0.55,0
766100.py,695584.py,0.26605504587155965,0.28884026258205686,0.08,0
766100.py,711391.py,0.8348623853211009,0.8656716417910448,0.41,0
766100.py,801231.py,0.1834862385321101,0.27920227920227925,0.04,0
766100.py,766791.py,0.5779816513761468,0.6371681415929203,0.33,0
766100.py,801230.py,0.1834862385321101,0.27920227920227925,0.04,0
766100.py,761785.py,0.8348623853211009,0.8656716417910448,0.41,0
762309.py,753801.py,0.34375,0.5468164794007491,0.47,0
762309.py,695584.py,0.28125,0.27064220183486243,0.03,0
762309.py,711391.py,1.0,1.0,1.0,1
762309.py,801231.py,0.20833333333333334,0.2787878787878788,0.0,0
762309.py,766791.py,0.6354166666666666,0.6226415094339622,0.21,0
762309.py,801230.py,0.20833333333333334,0.2787878787878788,0.0,0
762309.py,761785.py,1.0,1.0,1.0,1
753801.py,695584.py,0.18,0.22622107969151672,0.08,0
753801.py,711391.py,0.5,0.5468164794007491,0.47,0
753801.py,801231.py,0.18,0.31095406360424027,0.04,0
753801.py,766791.py,0.42,0.3837638376383764,0.26,0
753801.py,801230.py,0.18,0.31095406360424027,0.04,0
753801.py,761785.py,0.5,0.5468164794007491,0.47,0
695584.py,711391.py,0.4084507042253521,0.27064220183486243,0.03,0
695584.py,801231.py,0.3380281690140845,0.5176991150442478,0.32,0
695584.py,766791.py,0.5633802816901409,0.36363636363636365,0.21,0
695584.py,801230.py,0.3380281690140845,0.5176991150442478,0.32,0
695584.py,761785.py,0.4084507042253521,0.27064220183486243,0.03,0
711391.py,801231.py,0.20833333333333334,0.2787878787878788,0.0,0
711391.py,766791.py,0.6354166666666666,0.6226415094339622,0.21,0
711391.py,801230.py,0.20833333333333334,0.2787878787878788,0.0,0
711391.py,761785.py,1.0,1.0,1.0,1
801231.py,766791.py,0.5952380952380952,0.2934131736526946,0.17,0
801231.py,801230.py,1.0,1.0,1.0,1
801231.py,761785.py,0.2857142857142857,0.2787878787878788,0.0,0
766791.py,801230.py,0.3404255319148936,0.2934131736526946,0.17,0
766791.py,761785.py,0.648936170212766,0.6226415094339622,0.21,0
801230.py,761785.py,0.2857142857142857,0.2787878787878788,0.0,0
