,146144,146135,146150,146000,146174,146187,146011,146239,146224
146144,1.0,0.93,0.02,0.14,0.75,0.07,0.79,0.74,0.75
146135,0.93,1.0,0.02,0.15,0.73,0.08,0.78,0.72,0.73
146150,0.02,0.02,1.0,0.0,0.02,0.34,0.02,0.02,0.02
146000,0.14,0.15,0.0,1.0,0.09,0.01,0.1,0.09,0.09
146174,0.75,0.73,0.02,0.09,1.0,0.06,0.93,0.99,1.0
146187,0.07,0.08,0.34,0.01,0.06,1.0,0.08,0.06,0.06
146011,0.79,0.78,0.02,0.1,0.93,0.08,1.0,0.92,0.93
146239,0.74,0.72,0.02,0.09,0.99,0.06,0.92,1.0,0.99
146224,0.75,0.73,0.02,0.09,1.0,0.06,0.93,0.99,1.0
